model_name,norm_raw,norm_temp_scaled
ResNeXt101_32X8D,370.90274257526266,248.84206676476757
Swin_V2_B_uniform,53.52546937303509,31.483814180640458
ConvNeXt_Base,43.22271399144827,30.87201649191562
MNASNet0_75,153.92916476493312,190.37266382486766
EfficientNet_B1,50.53224627096482,37.70605183431794
RegNet_X_400MF,279.1371864242302,164.84926949961078
Swin_V2_B_greedy,62.971567815579526,30.600133301151192
RegNet_X_3_2GF,361.059710241476,218.54215299548693
ResNet152,402.85366554437746,250.48124412752196
ConvNeXt_Tiny,36.84916663830931,28.424305526746682
Swin_T,54.359347645380495,31.162533070630477
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,32.60667997083971,31.17096140890822
ConvNeXt_Base_6head,49.60885025280707,32.006205601177484
EfficientNet_B4,46.79048956079595,28.28875130899671
ResNeXt101_64X4D,275.9289496034838,240.6992508083984
ShuffleNet_V2_X1_0,148.30172231366242,165.38648741771004
ConvNeXt_Small,40.523480062082136,29.1469713590998
Swin_S,59.50164816326969,31.379953321086717
RegNet_X_16GF,515.3776715343101,263.22407962038017
ResNeXt50_32X4D,486.21658279854677,257.1126025369057
tf_efficientnetv2_l.in21k_ft_in1k,202.88387072093454,223.66315991312933
RegNet_X_800MF,320.2145686017422,193.49120990234252
EfficientNet_B3,142.70896881866958,98.63784898046467
Swin_V2_B,47.271897652413074,31.62105984700298
ConvNeXt_Base_greedy,44.26243703052798,30.400767786651365
ConvNeXt_Base_2head,49.322784123011125,32.88026209804887
EfficientNet_B0,133.62691496784956,102.29512188555721
ConvNeXt_Base_3head,31.89355856386735,25.491921586681716
ResNet50,506.5111683142353,258.94340650897186
ConvNeXt_Base_4head,31.5567860032244,25.085643519427645
RegNet_X_32GF,449.1391403329703,263.41688169450566
MNASNet0_5,276.9259258985763,231.27030625243017
ShuffleNet_V2_X2_0,364.0968060550658,227.55760119755928
EfficientNet_B5,77.66438869387771,49.87431156867949
MNASNet1_0,163.14823792176145,190.23108296161965
EfficientNet_V2_S,108.07129146053556,72.20054819866355
MNASNet1_3,204.52738218034386,184.5497370918815
ShuffleNet_V2_X1_5,276.0966900998666,190.4087959865075
ResNet101,417.14501300210605,244.18162307165582
ConvNeXt_Base_uniform,41.51924608640682,31.89429320612083
ConvNeXt_Tiny_4head,37.968758409327435,30.275985300699613
Swin_V2_T,63.01625942198275,33.078708328845295
ShuffleNet_V2_X0_5,223.31902918423557,202.45566089244917
EfficientNet_B2,134.15530357218333,96.07890527397116
RegNet_X_8GF,414.2121593479516,235.7371123676345
Swin_V2_S,66.87367298040064,31.231737073054003
RegNet_X_1_6GF,416.85544373979326,232.57324671028059
